DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
110,25.71729
122,25.71729
100,45.25159
140,25.71729
108,436.56674799999985
10,67.89238
99,27.021369999999997
57,25.71729
128,25.71729
63,25.71729
94,25.71729
50,25.71729
133,25.71729
144,25.71729
95,25.71729
85,25.71729
37,27.021369999999997
90,27.021369999999997
107,27.021369999999997
119,25.71729
5,79.881437
102,25.71729
143,25.71729
15,28.060299999999998
68,25.71729
116,11.37662
31,25.71729
134,25.71729
151,29.608939999999997
161,48.485440000000004
118,67.89238
98,25.71729
33,27.021369999999997
132,25.71729
27,25.71729
17,26.849940000000004
38,27.021369999999997
84,25.71729
30,28.310879999999997
123,41.528454
77,25.71729
105,25.71729
2,28.518260000000005
147,29.927718
137,25.71729
12,54.41021400000001
4,25.71729
104,25.71729
70,25.71729
62,25.71729
32,27.021369999999997
26,27.021369999999997
113,25.71729
46,27.021369999999997
162,27.55663
141,25.71729
156,8.23439
120,25.71729
101,45.25159
87,27.021369999999997
52,25.71729
35,25.71729
80,25.71729
22,25.71729
14,54.41021400000001
19,55.888954
78,25.71729
150,29.927718
131,25.71729
121,6.44434
71,25.71729
75,27.021369999999997
158,25.87549
114,79.056517
45,27.021369999999997
124,25.71729
29,27.021369999999997
20,30.623826
34,27.021369999999997
48,27.021369999999997
51,27.021369999999997
24,27.021369999999997
41,25.71729
148,29.927718
93,25.71729
154,28.998669999999997
58,25.71729
23,25.71729
25,27.021369999999997
8,67.89238
53,25.71729
153,25.71729
91,27.021369999999997
66,27.021369999999997
159,13.12629
88,27.021369999999997
65,25.71729
43,27.021369999999997
36,27.021369999999997
89,25.71729
7,25.71729
86,25.71729
145,25.71729
96,27.021369999999997
55,26.880229999999997
39,26.889810000000004
97,27.021369999999997
9,67.89238
79,26.576822
149,29.927718
106,27.021369999999997
64,25.71729
28,25.71729
60,25.71729
42,27.021369999999997
74,25.71729
6,25.71729
76,27.021369999999997
73,25.71729
130,25.71729
61,27.021369999999997
11,67.89238
117,11.37662
115,28.060299999999998
127,25.71729
152,25.71729
92,25.71729
59,25.71729
13,18.423793999999997
54,25.71729
21,32.64967
47,27.021369999999997
112,26.576822
129,25.71729
138,25.71729
103,25.71729
56,25.71729
163,11.754029
69,25.71729
125,77.49995700000001
146,27.624740000000003
135,25.71729
157,362.58788000000004
160,11.277869999999998
40,25.71729
155,8.175756999999999
18,25.71729
111,26.576822
83,25.71729
142,25.71729
136,25.71729
126,27.78888
49,27.021369999999997
109,26.576822
3,7.795
44,27.021369999999997
81,25.71729
139,25.71729
72,25.71729
82,25.71729
16,28.060299999999998
1,25.71729
67,27.021369999999997
