DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
116,0.2137622
25,4.724653
146,301.100803
42,4.724653
140,4.890803
134,4.890803
128,4.890803
147,4.724653
30,4.724653
107,4.724653
96,4.724653
77,4.724653
40,4.724653
43,4.724653
32,4.724653
28,4.724653
85,4.724653
14,3.7213601999999995
131,4.890803
48,4.724653
19,3.7213601999999995
65,4.724653
81,4.724653
105,4.724653
137,4.890803
99,4.724653
11,26.860519600000003
102,4.724653
22,4.724653
24,4.724653
39,4.724653
52,4.724653
104,4.724653
6,4.890803
98,4.724653
162,3.524063
21,8.845737
68,4.724653
29,4.724653
126,201.248803
89,4.724653
53,4.724653
130,4.890803
88,4.724653
127,4.890803
150,4.724653
60,4.724653
153,4.890803
17,4.724653
45,4.724653
20,8.845737
111,9.537734
31,4.724653
78,4.724653
148,4.724653
157,98.9777255
51,4.724653
76,4.724653
66,4.724653
12,3.8875101999999995
26,4.724653
23,4.724653
27,4.724653
59,4.724653
108,236.547534
115,4.724653
67,4.724653
156,0.2137622
37,4.724653
79,9.537734
132,4.890803
3,0.2137622
160,0.5579301999999999
154,4.724653
117,0.2137622
16,4.724653
113,4.724653
120,4.724653
36,4.724653
58,4.724653
75,4.724653
86,4.724653
49,4.724653
33,4.724653
158,43.8088442
8,26.860519600000003
97,4.724653
91,4.724653
142,272.946803
122,7.958283
15,4.724653
64,4.724653
56,4.724653
152,4.890803
141,4.890803
82,4.724653
18,4.724653
50,4.724653
121,0.2137622
129,4.890803
155,0.2137622
133,4.890803
139,4.890803
70,4.724653
13,6.5566702
80,4.724653
159,0.5579301999999999
125,1.1711462000000001
106,4.724653
44,4.724653
136,4.890803
35,4.724653
7,4.890803
71,4.724653
109,9.537734
57,4.724653
4,4.890803
61,4.724653
163,0.2137622
95,4.724653
9,26.860519600000003
74,4.724653
112,9.537734
144,4.724653
123,3.8122296999999996
84,4.724653
138,4.890803
124,7.958283
135,4.890803
41,4.724653
34,4.724653
54,4.724653
114,1.1711462000000001
72,4.724653
38,4.724653
161,3.7887462
1,4.724653
143,4.890803
73,4.724653
151,4.724653
83,4.724653
90,4.724653
62,4.724653
103,4.724653
46,4.724653
100,23.699353
93,4.724653
47,4.724653
119,5.47616
2,5.880133000000001
110,4.724653
63,4.724653
69,4.724653
92,4.724653
10,26.860519600000003
118,26.860519600000003
87,4.724653
55,4.724653
94,4.724653
145,4.890803
149,4.724653
101,23.699353
5,1.1711462000000001
