LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1,Proteobacteria bacterium CAG:139 | CDA43154
2,Acidobacteria bacterium Mor1 | ANM31379
3,Thermoanaerobaculum aquaticum | KDA54266
4,Hydrogenivirga sp. 128-5-R1-1 | EDP74437
5,Thermosulfidibacter takaii ABI70S6 | BAT70885
6,Persephonella marina EX-H1 | ACO04785
7,Sulfurihydrogenibium sp. YO3AOP1 | ACD66081
8,Calditerrivibrio nitroreducens DSM 19672 | ADR19776
9,Deferribacter desulfuricans SSM1 | BAI81275
10,Flexistipes sinusarabici DSM 4947 | AEI13972
11,Mucispirillum schaedleri ASF457 | SIW08022
12,Rhodothermus marinus SG0.5JP17-172 | AEN72356
13,Flammeovirga sp. MY04 | ANQ49114
14,Flammeovirgaceae bacterium 311 | AHM58400
15,Aquimarina sp. 22II-S11-z7 | EZH74747
16,Zhouia amylolytica AD3 | ETN95990
17,Gemmatimonas sp. SG8_28 | KPK09519
18,Nitrospina sp. SCGC_AAA799_A02 | KMP10636
19,Nitrospira sp. ENR4 | CUQ67876
20,Rhodopirellula sp. K833 | KLU07580
21,Rhodopirellula maiorica SM1 | EMI19927
22,Kiloniella sp. P1-1 | KKJ77425
23,Magnetococcus marinus MC-1 | ABK44100
24,Bradyrhizobium diazoefficiens SEMIA 5080 | KAK29675
25,Microvirga vignae | KLK93974
26,Rhizobium sp. AC44/96 | OCJ14409
27,Aliiroseovarius crassostreae | KPN63413
28,Labrenzia alba | CTQ64031
29,Leisingera sp. JC1 | OBY25346
30,Ponticoccus sp. SJ5A-1 | KUF09196
31,Pseudovibrio sp. W64 | KZK86743
32,Pseudovibrio sp. WM33 | KZL27424
33,Rhodobacter sp. AKP1 | EKX59209
34,Salipiger mucosus DSM 16094 | EPX77942
35,Shimia sp. SK013 | KPA21942
36,Azospirillum brasilense Sp245 | CCD03653
37,Azospirillum lipoferum 4B | CBS89848
38,Caenispirillum salinarum AK4 | EKV29471
39,Caenispirillum salinarum AK4 | EKV31325
40,Magnetospira sp. QH-2 | CCQ73122
41,Magnetospirillum sp. SO-1 | EME71444
42,Rhodospirillum centenum SW | ACI97896
43,Thalassospira xiamenensis M-5 = DSM 17429 | AJD53401
44,Sphingopyxis sp. H080 | KTE27683
45,alpha proteobacterium AAP38 | KPF81453
46,Achromobacter sp. 2789STDY5608628 | CUJ73828
47,Bordetella bronchiseptica D993 | KDB91793
48,Ralstonia pickettii | OCS50361
49,Comamonas testosteroni | KGG95302
50,Janthinobacterium sp. B9-8 | AMC34543
51,Massilia sp. NR 4-1 | AKU21036
52,Sutterella sp. CAG:397 | CDD72660
53,Sutterella sp. CAG:351 | CDE47844
54,Sutterella sp. KLE1602 | KXT32309
55,Sutterella parvirubra YIT 11816 | EHY31605
56,Sutterella wadsworthensis 3_1_45B | EFW01237
57,Leptothrix cholodnii SP-6 | ACB33611
58,Laribacter hongkongensis HLHK9 | ACO75065
59,Sulfuricella denitrificans skB26 | GAB72181
60,Dechloromonas aromatica RCB | AAZ48244
61,Azoarcus sp. PA01 | KON81735
62,Thauera phenylacetica B4P | ENO96804
63,Candidatus Accumulibacter sp. BA-94 | EXI83783
64,Betaproteobacteria bacterium SG8_39 | KPK08875
65,Aeromonas hydrophila | KHE13455
66,Catenovulum agarivorans DS-2 | EWH11964
67,Marinobacter sp. HL-58 | KPP98061
68,Thalassomonas actiniarum | KJE39172
69,Ferrimonas balearica DSM 9799 | ADN77821
70,Ferrimonas balearica DSM 9799 | ADN77828
71,Moritella viscosa | SHO15317
72,Psychromonas ingrahamii 37 | ABM03915
73,Shewanella amazonensis SB2B | ABL99829
74,Shewanella baltica OS155 | ABN62988
75,Cellvibrio sp. BR | EIK44275
76,Saccharophagus degradans 2-40 | ABD79348
77,Simiduia agarivorans SA1 = DSM 21679 | AFU98332
78,Thiocapsa sp. KS1 | CRI63872
79,Thiocystis violascens DSM 198 | EGZ47324
80,Thioalkalivibrio paradoxus ARh 1 | AHE98136
81,Pragia fontium | AKJ42898
